ID,NOMBRE,URL
1,GLADIATOR,https://www.youtube.com/embed/-yOZEiHLuVU?si=uFkqZgNId0-rTvAz&amp;clip=UgkxEUvAIl-kfHo07mPB-MP-DZTD-fetkyqp&amp;clipt=EIDEExiwrhU
2,TOY STORY - HAY UN AMIGO EN MI,https://www.youtube.com/embed/qK4IpGNQndk?si=EjpPwV60dnyVNIPd&amp;clip=UgkxuKiN3vVpcqf1MxsSXNELwmX6uY9WwhLW&amp;clipt=EO6bARjj-gE
3,TITANIC - MY HEART WILL GO ON,https://www.youtube.com/embed/F2RnxZnubCM?si=HicKkIbEQQsDr5ZC&amp;clip=UgkxpxJRmigh3rdHH8KNczRENJa5o6Qe20Iu&amp;clipt=EJGdARiXggM
4,PIRATAS DEL CARIBE,https://www.youtube.com/embed/fp0zwdlD0fY?si=lXV-GBwOlgZXNnnX&amp;clip=Ugkx9Tz50gdzfxPkysNPV7-eD2oLLjUYFvrl&amp;clipt=ENkCGJ-cAQ
5,LA VIDA ES BELLA,https://www.youtube.com/embed/GTkTgFQWQVE?si=h_Um_jDfSjjZHXu8&amp;clip=Ugkx7Xaai65Ss93-8EFrpfhkFoqg_mChMMtS&amp;clipt=EPJXGNSPAg
6,DIRTY DANCING - THE TIME OF MY LIFE,https://www.youtube.com/embed/WpmILPAcRQo?si=0OqKchaythWcnM7A&amp;clip=UgkxPHYI82LR41ZKg-kmTp5Csy5_Nqh6D87k&amp;clipt=EJltGLOKAg
7,PULP FICTION - DANCE SCENE,https://www.youtube.com/embed/WSLMN6g_Od4?si=UF9g2qXVbZeQMCAW&amp;clip=UgkxWwTcYdZaD5jN5nOvCKo7EasPdnJth_UF&amp;clipt=EL6kBRj6vgY
8,LA SIRENITA - BAJO EL MAR,https://www.youtube.com/embed/jwJ9_RJuQPs?si=Ku30Yb3iq3_ILO3D&amp;clip=UgkxgAaeBmGw2d98hhZFvHyeBaIsLJS_Xebt&amp;clipt=EKRPGLbkAQ
9,STAR WARS,https://www.youtube.com/embed/nXnW8QEeGDo?si=TP3DmyJaRpiEApJh&amp;clip=UgkxnAb3boY7plo7XbSTBuFIV-UeSLBlUbZj&amp;clipt=EAAY6ocB
10,GHOSTBUSTERS,https://www.youtube.com/embed/TaV1r341wYk?si=lNCXAL5sFPS59zJq&amp;clip=UgkxnA45zwZKc0hYyURtm6rsxX2DcSww1zqJ&amp;clipt=EPJXGPrIAQ
11,EL PADRINO,https://www.youtube.com/embed/qIFQwnsotss?si=6DADgHvMWz9QU_6u&amp;clip=UgkxssbSklk9V7MlpTYN5ncrGKg3iatbe2Hv&amp;clipt=EA0Y54QB
12,TIBURÓN,https://www.youtube.com/embed/BePfzCOMRZQ?si=KdmvvGLinaGKwnHT&amp;clip=UgkxUSj5ZsbuKc1Lm_U8x-qAq7R5-2UYtXek&amp;clipt=EM-vAhjlrAM
13,PSICOSIS,https://www.youtube.com/embed/fU8qpU6m3Fk?si=3dC7leqLCni0ESPj&amp;clip=UgkxskzdI2AcTpm9GxfhfQ6vchIUDbf6UIpK&amp;clipt=EAAYmHU
14,HARRY POTTER,https://www.youtube.com/embed/T8D8vEcZrqM?si=28M2auMgmkCn24Su&amp;clip=Ugkxyhp8htI_8KCdsaQDtaAk8vTRwLxWfH0P&amp;clipt=EAAYmHU
15,MAMMA MIA - DANCING QUEEN,https://www.youtube.com/embed/QRoWiTcO7dk?si=RZGaco38c0fxqs3Z&amp;clip=UgkxSRvWl130NeXaud_075c_yN6ugh0-OoHe&amp;clipt=EMs6GLmqAQ
16,SHREK - ALL STAR,https://www.youtube.com/embed/L_jWHffIx5E?si=zoO_5P00oNm49bD2&amp;clip=Ugkxlf7fR5k4iqZ9xjW1r-K0zblwmV4OAgaL&amp;clipt=EPykAhjmrAM
17,GREASE - YOU'RE THE ONE THAT I WANT,https://www.youtube.com/embed/ApIjBwM0gw4?si=fLS2Hjwbfm1bNdGt&amp;clip=UgkxkrA8acgWkcuxJHxn4C3xVdcyVVYOp3o0&amp;clipt=ELqqARjSnwI
18,EL GUARDAESPALDAS - I'LL ALWAYS LOVE YOU,https://www.youtube.com/embed/3JWTaaS7LdU?si=8nm9URxjVqD-jbrL&amp;clip=UgkxE0V6IMqFM0ppuLsfpxX4nQ2I2EfzIbls&amp;clipt=EIDAChi82gs
19,MOULING ROUGE - LADY MARMALADE,https://www.youtube.com/embed/P_142sRmggM?si=nU1aq01vRvHMdJVc&amp;clip=UgkxFpvSBYH0SmMbh1G4W91e6TT_ORQrOtTi&amp;clipt=EL-KARjQpwI
20,VOLVER - VOLVER,https://www.youtube.com/embed/3PJiNOJsK8E?si=DzjUP0N3vC79SsXW&amp;clip=UgkxUzpLmp45lSWkNBM4L7834PLCgnLxWmz_&amp;clipt=EL75BRjQjgc
