ID,NOMBRE,URL
1,LIKE A VIRGIN - MADONNA,https://www.youtube.com/embed/s__rX_WL100?si=zNlusKMqCjSUq4C2&amp;clip=UgkxNZKNyTOFcr8m-sitW4wqwxUbSaZxDKJR&amp;clipt=ENCnAhiOugM
2,GIRLS JUST WANNA HAVE FUN-C.LAUPER,https://www.youtube.com/embed/jRr5EasAq84?si=8wnvP6kzK8RT_Pk1&amp;clip=Ugkxr0RGIGJpFxYhB96Z6a4hdzWZfJ_jo2Nz&amp;clipt=EJplGLLaAQ
3,THRILLER - MICHAEL JACKSON,https://www.youtube.com/embed/rLMr9CsJHME?si=5BD2WZr74pC8t5Wm&amp;clip=UgkxNz9P33eSd44izLjFgmJDE6cu_GfwJCyL&amp;clipt=EJuHCBiz_Ag
4,I WANT TO BREAK FREE - QUEEN,https://www.youtube.com/embed/WUOtCLOXgm8?si=dG3CvSJ5nSvJIxtr&amp;clip=UgkxsGPVGZzZBeh15z4Jcc5nPgIAYJfycH26&amp;clipt=EN72BRjJ9gY
5,I WANNA DANCE SOMEBODY-W. HOUSTON,https://www.youtube.com/embed/eH3giaIzONA?si=Vq3uZvqXDfgzqyHF&amp;clip=UgkxuA8pBALv4mTFDSfMKHcPbgvh35nt4PNU&amp;clipt=ENScBBiUnwU
6,LOBO HOMBRE EN PARIS - LA UNIÓN,https://www.youtube.com/embed/sl4GO6pgRas?si=NDnOjGZlwh6eyG31&amp;clip=UgkxfpIkwMk12_u3WWEIogJdNuFYALruf8wV&amp;clipt=EL-XAxiopwQ
7,BAILANDO - ALASKA Y LOS PEGAMOIDES,https://www.youtube.com/embed/jQyF7IOa0xQ?si=3exdHjh011WwGN_6&amp;clip=Ugkxucn-o7wMsu6WIaUeENvfg854hVzdtkKJ&amp;clipt=EKS_BBjluQU
8,VOY PASARMELO BIEN-HOMBRESG,https://www.youtube.com/embed/8gLUhCTvZco?si=oR92lO5qDetVfYB3&amp;clip=Ugkx4P9wL2--PSAiSl_nLFMeeSj8gyhA2gI7&amp;clipt=ELPfAxie3wQ
9,ENAMORADO MODA JUVENIL-RADIO FUTURA,https://www.youtube.com/embed/-iob5nbQ0Sw?si=TVo2B4-XZa0ptQt-&amp;clip=UgkxjMkKtwX-hwbBYwQew__hGNk2qh1JiwQb&amp;clipt=EP71BRjo_QY
10,AQUÍ NO HAY PLAYA - REFRESCOS,https://www.youtube.com/embed/lExooC_xmE0?si=FxBXuRdkRNDFXvgK&amp;clip=Ugkx9gFsDUShajGIijozm2JapH1AcGEytW37&amp;clipt=EMnkBBi7vAU
11,ES POR TI - COMPLICES,https://www.youtube.com/embed/Cfk_7Z4Uktk?si=fqh65A6xP0G7bdBP&amp;clip=Ugkx_oiPP8SUqgtjoFf9qq8Q-OQjiFlG-G2W&amp;clipt=EJK8BRiakQc
12,ESCUELA DE CALOR - RADIO FUTURA,https://www.youtube.com/embed/LyCQvyrZzW0?si=7td14TJ7FfqytzwQ&amp;clip=Ugkx9aVlEXU67PC_926r1aDK2XIzkKUdN28o&amp;clipt=EILLBxjtygg
13,HOY NO ME PUEDO LEVANTAR - MECANO,https://www.youtube.com/embed/t9uHt3VUH4c?si=2yp6fw-B-Qu5NvWt&amp;clip=UgkxErFyzopDl6skLuNSGi3P4xiwd3f2o4-e&amp;clipt=EJGdARj7pAI
14,DUELE LA CARA DE SER TAN GUAPO - INHUMANOS,https://www.youtube.com/embed/o0hfokUH2AQ?si=alPgtsHbmcRQKEBT&amp;clip=Ugkx5eJUtLN6ai-uGzNflfeTn-guX-RFKegl&amp;clipt=ELetBxj8jwg
15,RUFINO - LUZ CASAL,https://www.youtube.com/embed/5LcuZrBCeN8?si=8uOqTtKqoAOGx4qd&amp;clip=Ugkxm8KMsNHzBTSQ0e6i1xxtXNKZwLpWGjLl&amp;clipt=EMKFCxiL0As
16,BARBIE GIRL - AQUA,https://www.youtube.com/embed/ZyhrYis509A?si=ou-e4gKsY_1upFag&amp;clip=Ugkxxnp-G_cFZesrF-8gwHZBj8WTibSjnp8j&amp;clipt=EO_0AhiDggQ
17,WANNABE - SPICE GIRLS,https://www.youtube.com/embed/gJLIiF15wjQ?si=2xH3G-TS08s0q7fH&amp;clip=UgkxE3fyRSF8K3Hi_whyaEBjrsZyFRVzmSR1&amp;clipt=EO38Ahjb7AM
18,ESTE AMOR NO SE TOCA - YURI,https://www.youtube.com/embed/9s22RkxCC-U?si=a3ztACz7upA314-T&amp;clip=Ugkx1RHNB3A2Qj9r9SJlyLLMr4-KyN0D1eeh&amp;clipt=EPmQAxi4mwQ
19,BAILAR PEGADOS - SERGIO DALMA,https://www.youtube.com/embed/zlmRGWNJE3c?si=Z0H3b8obd7wEb4S-&amp;clip=UgkxDHQT8H9ySm9Ulqs7NKymk-ELLSmboyrx&amp;clipt=ELbCARif0gI
20,UN BESO Y UNA FLOR - NINO BRAVO,https://www.youtube.com/embed/2gsmZ-UZAA4?si=4_z0xs0Zw434hcNS&amp;clip=Ugkx-dPRDtTxMox0TPK7SlsXwEWYyUDp27rp&amp;clipt=EMjfAhj4zAM
21,CA PLANE POUR MOI - PLASTIC BERTRAND,https://www.youtube.com/embed/8soQkubMk1g?si=L4SIUtSEd3Ry4bIV&amp;clip=UgkxLlSuN-OaUnNnglHuzkyR_IpB_v4RYF22&amp;clipt=EAAY1Ho
22,HIGHWAY TO HELL-AC/DC,https://www.youtube.com/embed/LMuDrj5BpM0?si=1sdy-S5_OjG0UeTA&amp;clip=UgkxGgHwkxSjvt98apo7PjGwQeSQR-sBNmLt&amp;clipt=EODOBRiQvAY
